source	target	ligand	receptor	pathway	prob_a	pvalue_a	ligand_expr_a	receptor_expr_a	prob_b	pvalue_b	ligand_expr_b	receptor_expr_b	delta_prob	abs_delta_prob	log2fc	percent_change	is_new	is_lost	direction
CD14-positive, CD16-negative classical monocyte	CD14-positive, CD16-negative classical monocyte	LGALS9	P4HB	GALECTIN	5.526032216767824e-06		0.0014395393474088	0.0019193857965451	1.0917864902339697e-05		0.0023364485981308	0.0023364485981308	-5.391832685571873e-06	5.391832685571873e-06	-0.9822459580351142	-0.4938089017308484	False	False	normal
effector memory CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	3.190463639471844e-06		0.0019193857965451	0.0008311184297355	8.404597443634517e-06		0.0031152647975077	0.0013489492270785	-5.2141338041626735e-06	5.2141338041626735e-06	-1.397132154186978	-0.6203168589891597	False	False	normal
central memory CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	3.68402826386484e-06		0.0019193857965451	0.0009596928982725	7.278603090494871e-06		0.0023364485981308	0.0015576323987538	-3.5945748266300305e-06	3.5945748266300305e-06	-0.9821841070566454	-0.4937871999262627	False	False	normal
central memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	3.68402826386484e-06		0.0019193857965451	0.0009596928982725	7.278603090494871e-06		0.0023364485981308	0.0015576323987538	-3.5945748266300305e-06	3.5945748266300305e-06	-0.9821841070566454	-0.4937871999262627	False	False	normal
effector memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	CD40LG	ITGAM_ITGB2	CD40	2.110295618737788e-06		0.0004798464491362	0.0021989326751227	5.559134494765697e-06		0.0007788161993769	0.0035689841861026	-3.4488388760279096e-06	3.4488388760279096e-06	-1.3969911852386971	-0.6202797574905142	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	CD40LG	ITGAM_ITGB2	CD40	2.110295618737788e-06		0.0004798464491362	0.0021989326751227	5.559134494765697e-06		0.0007788161993769	0.0035689841861026	-3.4488388760279096e-06	3.4488388760279096e-06	-1.3969911852386971	-0.6202797574905142	False	False	normal
central memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	CD40LG	ITGAM_ITGB2	CD40	2.110295618737788e-06		0.0004798464491362	0.0021989326751227	5.559134494765697e-06		0.0007788161993769	0.0035689841861026	-3.4488388760279096e-06	3.4488388760279096e-06	-1.3969911852386971	-0.6202797574905142	False	False	normal
effector memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	6.380906920892169e-06		0.0019193857965451	0.001662236859471	9.7047805749112e-06		0.0031152647975077	0.0015576323987538	-3.323873654019033e-06	3.323873654019033e-06	-0.6048566772061342	-0.3424633009539722	False	False	normal
effector memory CD8-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	9.21009610735288e-07		0.0004798464491362	0.0009596928982725	4.202316381206017e-06		0.0007788161993769	0.0026978984541571	-3.2813067704707284e-06	3.2813067704707284e-06	-2.1886743573622467	-0.7806471064472323	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	9.21009610735288e-07		0.0004798464491362	0.0009596928982725	4.202316381206017e-06		0.0007788161993769	0.0026978984541571	-3.2813067704707284e-06	3.2813067704707284e-06	-2.1886743573622467	-0.7806471064472323	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD8-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	9.21009610735288e-07		0.0004798464491362	0.0009596928982725	4.202316381206017e-06		0.0007788161993769	0.0026978984541571	-3.2813067704707284e-06	3.2813067704707284e-06	-2.1886743573622467	-0.7806471064472323	False	False	normal
central memory CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	3.190463639471844e-06		0.0019193857965451	0.0008311184297355	6.303461327239627e-06		0.0023364485981308	0.0013489492270785	-3.112997687767784e-06	3.112997687767784e-06	-0.9821548962933948	-0.4937769503506166	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	IL16	CD4	IL16	1.8420175249547325e-06		0.0004798464491362	0.0019193857965451	4.852413833261356e-06		0.0007788161993769	0.0031152647975077	-3.010396308306624e-06	3.010396308306624e-06	-1.3969300894127463	-0.6202636766054881	False	False	normal
effector memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	IL16	CD4	IL16	1.8420175249547325e-06		0.0004798464491362	0.0019193857965451	4.852413833261356e-06		0.0007788161993769	0.0031152647975077	-3.010396308306624e-06	3.010396308306624e-06	-1.3969300894127463	-0.6202636766054881	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD4-positive, alpha-beta T cell	RETN	CAP1	RESISTIN	1.8420175249547325e-06		0.0004798464491362	0.0019193857965451	4.852413833261356e-06		0.0007788161993769	0.0031152647975077	-3.010396308306624e-06	3.010396308306624e-06	-1.3969300894127463	-0.6202636766054881	False	False	normal
CD14-positive, CD16-negative classical monocyte	CD14-positive, CD16-negative classical monocyte	IL16	CD4	IL16	1.8420175249547325e-06		0.0004798464491362	0.0019193857965451	4.852413833261356e-06		0.0007788161993769	0.0031152647975077	-3.010396308306624e-06	3.010396308306624e-06	-1.3969300894127463	-0.6202636766054881	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD8-positive, alpha-beta T cell	RETN	CAP1	RESISTIN	1.8420175249547325e-06		0.0004798464491362	0.0019193857965451	4.852413833261356e-06		0.0007788161993769	0.0031152647975077	-3.010396308306624e-06	3.010396308306624e-06	-1.3969300894127463	-0.6202636766054881	False	False	normal
central memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	IL16	CD4	IL16	1.8420175249547325e-06		0.0004798464491362	0.0019193857965451	4.852413833261356e-06		0.0007788161993769	0.0031152647975077	-3.010396308306624e-06	3.010396308306624e-06	-1.3969300894127463	-0.6202636766054881	False	False	normal
CD14-positive, CD16-negative classical monocyte	central memory CD4-positive, alpha-beta T cell	RETN	CAP1	RESISTIN	1.8420175249547325e-06		0.0004798464491362	0.0019193857965451	4.852413833261356e-06		0.0007788161993769	0.0031152647975077	-3.010396308306624e-06	3.010396308306624e-06	-1.3969300894127463	-0.6202636766054881	False	False	normal
effector memory CD8-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	IL16	CD4	IL16	1.8420175249547325e-06		0.0004798464491362	0.0019193857965451	4.852413833261356e-06		0.0007788161993769	0.0031152647975077	-3.010396308306624e-06	3.010396308306624e-06	-1.3969300894127463	-0.6202636766054881	False	False	normal
effector memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	1.842017524954732e-06		0.0019193857965451	0.0004798464491362	4.852413833261355e-06		0.0031152647975077	0.0007788161993769	-3.010396308306623e-06	3.010396308306623e-06	-1.396930089412746	-0.620263676605488	False	False	normal
