source_dataset	dataset	species	section_id	technology	validation_strategy	n_cells_or_bins	n_groups	n_lr_pairs_in_table	random_seed	n_permutations	validation_score_method	expression_potential_stat	expression_potential_power	kernel	score_type	null_model	k	top_k	n_pairs	observed_mean	observed_score	null_mean	null_sd	top_k_enrichment_z	top_k_empirical_pvalue	enrichment_z	empirical_p
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	coordinate_permutation	500	500	500	8.368242702180052e-05	8.368242702180052e-05	8.100206603481516e-05	5.824972217365587e-07	4.601500036334228	0.0009990009990009	4.601500036334228	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	celltype_permutation	500	500	500	8.368242702180052e-05	8.368242702180052e-05	0.0001008331753359	2.5781515537519456e-05	-0.6652342950582968	0.7352647352647352	-0.6652342950582968	0.7352647352647352
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	matched_random_lr	500	500	500	8.368242702180052e-05	8.368242702180052e-05	6.022188645462106e-05	2.741150911659512e-06	8.558646102770123	0.0009990009990009	8.558646102770123	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	score_permutation	500	500	500	8.368242702180052e-05	8.368242702180052e-05	8.36824270218005e-05	1.3559308506083394e-20	0.999499874937461	1.0	0.999499874937461	1.0
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	coordinate_permutation	1000	1000	1000	5.631239413400002e-05	5.631239413400002e-05	5.4543923778994376e-05	3.910453553258958e-07	4.522417491781244	0.0019980019980019	4.522417491781244	0.0019980019980019
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	celltype_permutation	1000	1000	1000	5.631239413400002e-05	5.631239413400002e-05	6.707131349077304e-05	1.7106481086541947e-05	-0.6289381961341717	0.7192807192807192	-0.6289381961341717	0.7192807192807192
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	matched_random_lr	1000	1000	1000	5.631239413400002e-05	5.631239413400002e-05	4.769848287040292e-05	1.6965017893308528e-06	5.077454864928061	0.0009990009990009	5.077454864928061	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	score_permutation	1000	1000	1000	5.631239413400002e-05	5.631239413400002e-05	5.6312394134000026e-05	6.779654253041699e-21	-0.999499874937461	1.0	-0.999499874937461	1.0
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	coordinate_permutation	5000	5000	4021	1.781063841115305e-05	1.781063841115305e-05	1.726751889741662e-05	1.222628956793777e-07	4.442226815572132	0.0029970029970029	4.442226815572132	0.0029970029970029
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	celltype_permutation	5000	5000	4021	1.781063841115305e-05	1.781063841115305e-05	2.0604085278257866e-05	5.237346966509692e-06	-0.5333705948770545	0.6643356643356644	-0.5333705948770545	0.6643356643356644
